0.05	0Mbps
0.1	0Mbps
0.15	0Mbps
0.2	0Mbps
0.25	0Mbps
0.3	0Mbps
0.35	0Mbps
0.4	0Mbps
0.45	0Mbps
0.5	0Mbps
0.55	0Mbps
0.6	0Mbps
0.65	0Mbps
0.7	0Mbps
0.75	0Mbps
0.8	0Mbps
0.85	0Mbps
0.9	0Mbps
0.95	0Mbps
1	0Mbps
1.05	0Mbps
1.1	0Mbps
1.15	0Mbps
1.2	0Mbps
1.25	0Mbps
1.3	0Mbps
1.35	0Mbps
1.4	0Mbps
1.45	0Mbps
1.5	0Mbps
1.55	0Mbps
1.6	0Mbps
1.65	0Mbps
1.7	0Mbps
1.75	0Mbps
1.8	0Mbps
1.85	0Mbps
1.9	0Mbps
1.95	0Mbps
2	0.00928Mbps
2.05	5.77632Mbps
2.1	12.9773Mbps
2.15	54.793Mbps
2.2	97.3296Mbps
2.25	310.734Mbps
2.3	718.076Mbps
2.35	968.97Mbps
2.4	923.55Mbps
2.45	908.41Mbps
2.5	968.97Mbps
2.55	848.57Mbps
2.6	1043.95Mbps
2.65	968.97Mbps
2.7	1007.66Mbps
2.75	1021.12Mbps
2.8	68.7315Mbps
2.85	0Mbps
